72.00,1.13,64
72.00,1.13,56
72.00,1.13,45
72.00,1.13,34
72.00,1.13,32
72.00,1.13,38
72.00,1.13,48
72.00,1.13,53
72.00,1.13,54
72.00,1.13,52
72.00,1.13,53
72.00,1.13,59
72.00,1.13,60
72.00,1.13,57
72.00,1.13,54
72.00,1.13,52
72.00,1.13,49
72.00,1.13,44
72.00,1.13,39
72.00,1.13,34
72.00,1.13,33
72.00,1.13,39
72.00,1.13,49
72.00,1.13,57
72.00,1.04,63
72.00,1.04,70
72.00,1.04,74
72.00,1.04,74
72.00,1.04,73
72.00,1.04,71
72.00,1.04,61
72.00,1.04,49
72.00,1.04,38
72.00,1.04,27
72.00,1.04,15
72.00,1.04,6
72.00,1.04,1
72.00,1.04,2
72.00,1.04,10
72.00,1.04,25
72.00,1.04,48
72.00,1.09,69
72.00,1.09,83
72.00,1.09,90
72.00,1.09,92
72.00,1.09,96
72.00,1.09,113
72.00,1.09,156
72.00,1.09,213
72.00,1.09,239
72.00,1.09,199
72.00,1.09,96
72.00,1.09,-36
72.00,1.09,-156
72.00,1.09,-234
72.00,1.09,-261
72.00,1.09,-240
72.00,1.09,-176
72.00,1.09,-79
72.00,1.09,35
72.00,1.08,144
72.00,1.08,230
72.00,1.08,282
72.00,1.08,302
72.00,1.08,291
72.00,1.08,241
72.00,1.08,156
72.00,1.08,65
72.00,1.08,-7
72.00,1.08,-61
72.00,1.08,-100
72.00,1.08,-110
72.00,1.08,-86
72.00,1.08,-39
72.00,1.08,17
72.00,1.11,72
72.00,1.11,120
72.00,1.11,152
72.00,1.11,161
72.00,1.11,151
72.00,1.11,128
72.00,1.11,96
72.00,1.11,61
72.00,1.11,31
