96.00,0.75,33.61,363
96.00,0.75,33.45,363
96.00,0.75,33.33,363
96.00,0.75,32.97,363
96.00,0.75,34.33,363
96.00,0.75,36.40,363
96.00,0.75,38.18,363
96.00,0.75,39.48,363
96.00,0.75,40.70,363
96.00,0.75,41.59,363
96.00,0.75,41.70,363
96.00,0.75,40.70,363
96.00,0.75,40.24,363
96.00,0.75,39.10,363
96.00,0.75,38.26,363
96.00,0.75,36.84,363
96.00,0.75,37.69,363
96.00,0.75,40.48,363
96.00,0.75,43.59,363
96.00,0.75,44.51,363
96.00,0.75,43.02,363
96.00,0.75,40.59,363
96.00,0.75,39.08,363
96.00,0.75,38.25,363
96.00,0.75,38.45,363
96.00,0.75,39.95,363
96.00,0.75,41.04,363
96.00,0.75,39.95,363
96.00,0.75,37.80,363
96.00,0.75,37.05,363
96.00,0.75,38.11,363
96.00,0.75,40.24,363
96.00,0.75,42.88,363
96.00,0.75,44.80,363
96.00,0.75,45.94,363
96.00,0.75,44.87,363
96.00,0.75,39.77,363
96.00,0.75,35.51,363
96.00,0.75,35.10,363
96.00,0.75,38.86,363
96.00,0.75,44.57,363
96.00,0.75,48.74,363
96.00,0.75,51.51,363
96.00,0.75,54.88,363
96.00,0.75,57.35,363
96.00,0.75,58.33,363
96.00,0.75,57.70,363
96.00,0.75,55.62,363
96.00,0.75,52.48,363
96.00,0.75,50.19,363
96.00,0.75,48.52,363
96.00,0.75,47.03,363
96.00,0.75,46.21,363
96.00,0.75,42.91,363
96.00,0.75,38.88,363
96.00,0.75,36.75,363
96.00,0.75,38.98,363
96.00,0.75,43.04,363
96.00,0.75,43.84,363
96.00,0.75,41.18,363
96.00,0.75,39.24,363
96.00,0.75,39.45,363
96.00,0.75,41.22,363
96.00,0.75,43.05,363
96.00,0.75,43.85,363
96.00,0.75,42.27,363
96.00,0.75,39.76,363
96.00,0.75,37.67,363
96.00,0.75,36.68,363
96.00,0.75,36.76,363
96.00,0.75,36.83,363
96.00,0.75,37.14,363
96.00,0.75,38.19,363
96.00,0.75,38.68,363
96.00,0.75,36.60,363
96.00,0.75,31.04,363
96.00,0.75,28.05,363
96.00,0.75,31.28,363
96.00,0.75,39.31,363
96.00,0.75,48.95,363
96.00,0.75,60.31,363
96.00,0.75,72.65,363
96.00,0.75,85.99,363
in
96.00,0.76,100.85,363
96.00,0.76,114.13,363
96.00,0.76,121.93,363
96.00,0.76,124.11,363
96.00,0.76,121.38,363
96.00,0.76,112.90,363
96.00,0.76,101.31,363
96.00,0.76,89.61,363
96.00,0.76,78.91,363
96.00,0.76,70.56,363
96.00,0.76,64.46,363
96.00,0.76,60.02,363
96.00,0.76,57.58,363
96.00,0.76,55.53,363
96.00,0.76,54.31,363
96.00,0.76,52.06,363
96.00,0.76,48.80,363
96.00,0.76,44.81,363
96.00,0.76,41.89,363
96.00,0.76,41.11,363
96.00,0.76,42.16,363
96.00,0.76,44.28,363
96.00,0.76,46.90,363
96.00,0.76,45.58,363
96.00,0.76,42.72,363
96.00,0.76,39.55,363
96.00,0.76,36.97,363
96.00,0.76,36.44,363
96.00,0.76,37.94,363
96.00,0.76,40.12,363
96.00,0.76,40.63,363
96.00,0.76,41.54,363
96.00,0.76,43.28,363
96.00,0.76,43.48,363
96.00,0.76,44.16,363
96.00,0.76,43.58,363
96.00,0.76,42.07,363
96.00,0.76,40.43,363
96.00,0.76,40.31,363
96.00,0.76,41.58,363
96.00,0.76,42.77,363
96.00,0.76,43.65,363
96.00,0.76,44.82,363
96.00,0.76,45.68,363
96.00,0.76,44.42,363
96.00,0.76,42.14,363
96.00,0.76,41.56,363
96.00,0.76,41.68,363
96.00,0.76,41.77,363
96.00,0.76,43.18,363
96.00,0.76,45.02,363
96.00,0.76,47.18,363
96.00,0.76,48.48,363
96.00,0.76,49.16,363
96.00,0.76,49.12,363
96.00,0.76,48.01,363
96.00,0.76,47.73,363
96.00,0.76,48.89,363
96.00,0.76,51.08,363
96.00,0.76,53.49,363
96.00,0.76,54.17,363
96.00,0.76,54.66,363
96.00,0.76,55.83,363
96.00,0.76,56.42,363
96.00,0.76,55.23,363
96.00,0.76,52.73,363
96.00,0.76,50.37,363
96.00,0.76,50.27,363
96.00,0.76,52.90,363
96.00,0.76,55.09,363
96.00,0.76,58.58,363
96.00,0.76,62.20,363
96.00,0.76,65.12,363
96.00,0.76,66.98,363
96.00,0.76,66.17,363
96.00,0.76,64.51,363
96.00,0.76,61.94,363
96.00,0.76,59.79,363
96.00,0.76,59.04,363
96.00,0.76,59.30,363
