22.98,125.94,332
0.00,124.50,127.81,332
0.00,123.83,126.51,332
0.00,123.33,125.83,332
0.00,123.51,126.42,332
0.00,123.65,126.31,332
0.00,124.01,127.30,332
0.00,124.28,127.49,332
0.00,123.66,126.55,332
0.00,122.94,125.32,332
0.00,121.88,123.34,332
0.00,121.37,123.25,332
0.00,121.54,124.26,332
0.00,122.21,125.81,332
0.00,123.50,127.48,332
0.00,125.26,129.24,332
0.00,127.08,131.07,332
0.00,127.87,131.59,332
0.00,127.36,130.35,332
0.00,126.72,129.72,332
0.00,125.99,128.71,332
0.00,125.18,127.44,332
0.00,124.05,126.51,332
0.00,122.69,125.02,332
0.00,122.50,125.56,332
0.00,125.07,129.46,332
0.00,127.48,132.04,332
0.00,127.62,131.49,332
0.00,126.10,128.92,332
0.00,124.72,126.78,332
0.00,125.07,128.19,332
0.00,126.13,129.49,332
0.00,126.64,129.63,332
0.00,126.46,129.46,332
0.00,126.34,129.33,332
0.00,127.33,130.60,332
0.00,128.05,131.51,332
0.00,128.58,131.92,332
0.00,129.50,133.02,332
0.00,130.99,135.18,332
0.00,132.61,137.29,332
0.00,133.53,137.75,332
0.00,133.11,136.74,332
0.00,131.19,133.84,332
0.00,128.71,130.64,332
0.00,126.09,127.76,332
0.00,123.90,125.67,332
0.00,123.39,125.49,332
0.00,123.55,126.17,332
0.00,123.67,126.39,332
0.00,123.76,126.56,332
0.00,123.83,127.22,332
0.00,123.87,127.16,332
0.00,122.83,125.76,332
0.00,121.25,123.13,332
0.00,120.10,122.28,332
0.00,120.08,122.75,332
0.00,119.51,122.00,332
0.00,118.57,120.92,332
0.00,118.95,122.29,332
0.00,121.13,126.00,332
0.00,123.52,128.16,332
0.00,124.19,127.85,332
0.00,123.33,126.81,332
0.00,121.89,124.43,332
0.00,120.57,122.69,332
0.00,119.33,121.15,332
0.00,117.89,119.22,332
0.00,117.38,119.43,332
0.00,118.09,121.21,332
0.00,119.15,123.04,332
0.00,120.46,124.65,332
0.00,122.77,127.72,332
0.00,127.15,133.47,332
0.00,135.76,144.96,332
0.00,147.44,159.83,332
0.00,160.29,174.73,332
0.00,172.37,187.50,332
0.00,181.45,195.47,332
0.00,184.84,196.15,332
0.00,181.64,188.55,332
0.00,173.63,176.51,332
0.00,162.93,162.33,332
0.00,151.87,149.27,332
0.00,142.72,139.74,332
0.00,137.12,134.68,332
0.00,133.85,132.87,332
0.00,131.73,130.75,332
0.00,128.83,127.57,332
0.00,126.17,125.26,332
0.00,123.97,123.57,332
0.00,122.35,122.06,332
0.00,121.18,121.51,332
0.00,120.05,121.10,332
0.00,120.04,121.88,332
0.00,120.57,122.72,332
0.00,120.41,122.26,332
0.00,119.76,121.65,332
0.00,118.75,120.12,332
0.00,118.00,119.55,332
0.00,118.54,121.02,332
0.00,119.21,121.83,332
0.00,120.50,123.49,332
0.00,121.72,124.98,332
0.00,122.60,125.80,332
0.00,122.71,125.85,332
0.00,121.71,123.73,332
0.00,119.36,120.56,332
0.00,118.45,119.87,332
0.00,118.87,121.53,332
0.00,120.79,124.36,332
0.00,122.74,126.69,332
0.00,123.89,128.13,332
0.00,123.92,127.55,332
0.00,123.94,127.67,332
0.00,123.69,126.68,332
0.00,123.23,126.50,332
0.00,123.71,127.98,332
0.00,124.87,129.34,332
0.00,125.71,130.06,332
0.00,126.60,130.85,332
0.00,126.44,130.08,332
0.00,126.32,129.79,332
0.00,127.31,132.01,332
0.00,128.85,133.63,332
0.00,129.70,134.27,332
